trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,treatments
1,14691295,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,14695152,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,14961576,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['5-aza-2'-deoxycytidine']
1,15014028,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,15060100,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['genesis']
1,15179189,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,15277467,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['formalin']
1,15467732,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,15578076,Not PM,,,,,,,,,[]
1,15588860,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,['glutamic acid']
1,15613230,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,15641040,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,['primer']
1,15694309,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['genesis']
1,15785879,Not PM,,,,,,,,,[]
1,15824163,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Excludes,[]
1,15834638,Animal PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,15917418,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['various']
1,15928660,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,15948115,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16096377,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16291983,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16410717,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16417231,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16457759,Not PM,,,,,,,,,[]
1,16567964,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16609049,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16773562,Not PM,,,,,,,,,[]
1,16809487,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16845322,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,16899595,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,17201587,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,17355785,Not PM,,,,,,,,,[]
1,17384209,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['plasma']
1,17409425,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,17690212,Not PM,,,,,,,,,[]
1,17785355,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,17962436,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18172288,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18227705,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18246127,Not PM,,,,,,,,,[]
1,18279546,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18281615,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18374154,Not PM,,,,,,,,,[]
1,18421705,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18532874,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['combinations']
1,18596389,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18644254,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18715233,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,18985043,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19039588,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19156138,Not PM,,,,,,,,,[]
1,19282848,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19398955,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19404918,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19561646,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19724275,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,19724843,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,20002770,Not PM,,,,,,,,,[]
1,20350535,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,20357817,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,20496265,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,20520810,Not PM,,,,,,,,,[]
1,20605766,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,20667740,Not PM,,,,,,,,,[]
1,20823850,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21107323,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21156289,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21157411,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21223812,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21224857,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21326296,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Excludes,[]
1,21343552,Not PM,,,,,,,,,[]
1,21343559,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21498916,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21505227,Not PM,,,,,,,,,[]
1,21554046,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21606968,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21635872,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21639808,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21693616,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21717063,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['chondroitin sulfate']
1,21750866,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21753785,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21788131,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,21826607,Not PM,,,,,,,,,[]
1,21905615,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22028422,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22112480,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22113477,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Excludes,[]
1,22157295,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22170714,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22175026,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22194965,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22215904,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22220281,Not PM,,,,,,,,,[]
1,22261812,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22267755,Not PM,,,,,,,,,[]
1,22381246,Not PM,,,,,,,,,[]
1,22395615,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22406360,Not PM,,,,,,,,,[]
1,22453012,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22456166,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22535154,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches,[]
1,22588879,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22608338,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22663011,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22735384,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22742884,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22772867,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22805292,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22808163,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22850568,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22946753,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,22962325,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,['braf inhibitor']
1,22972589,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23001925,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23020132,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['braf inhibitor']
1,23088640,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23094782,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['Vemurafenib']
1,23095503,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23116250,Human PM,More General,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23136868,Not PM,,,,,,,,,[]
1,23153455,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23204132,Animal PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23242808,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23248257,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['Trametinib']
1,23249108,Not PM,,,,,,,,,[]
1,23273605,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23290787,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23317446,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23342664,Not PM,,,,,,,,,[]
1,23369684,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['drugs']
1,23373092,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23376011,Not PM,,,,,,,,,[]
1,23401870,Not PM,,,,,,,,,[]
1,23403819,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23413975,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23414474,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23414587,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23415641,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23432625,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23526598,Not PM,,,,,,,,,[]
1,23535073,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23550516,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23557327,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23584575,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23585929,Not PM,,,,,,,,,[]
1,23615632,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['combinations']
1,23620404,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23673558,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23684619,Not PM,,,,,,,,,[]
1,23715079,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23738911,Not PM,,,,,,,,,[]
1,23770823,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23792568,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23795354,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23807941,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23819947,Not PM,,,,,,,,,[]
1,23825798,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23843700,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23846731,Not PM,,,,,,,,,[]
1,23855428,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23918947,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23922205,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23938765,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23976959,Not PM,,,,,,,,,[]
1,23977666,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,23981010,Not PM,,,,,,,,,[]
1,23993685,Not PM,,,,,,,,,[]
1,24023633,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24026210,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24051699,Not PM,,,,,,,,,[]
1,24054424,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24055054,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['dabrafenib', 'mek inhibitor']"
1,24073999,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['braf inhibitor']
1,24080641,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24117833,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24161908,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['vemurafenib']
1,24179707,Not PM,,,,,,,,,[]
1,24196789,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24200969,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24210882,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24256466,Not PM,,,,,,,,,[]
1,24258979,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24295639,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,['Vemurafenib']
1,24325952,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24341237,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24345644,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['Celecoxib']
1,24388723,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24393566,Not PM,,,,,,,,,[]
1,24407165,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['vemurafenib']
1,24419498,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,['mek inhibitor']
1,24466036,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24469106,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24471189,Not PM,,,,,,,,,[]
1,24475086,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24484235,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,"['dabrafenib', 'ipilimumab', 'vemurafenib']"
1,24489105,Not PM,,,,,,,,,[]
1,24504441,Not PM,,,,,,,,,[]
1,24508103,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24516336,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['dabrafenib']
1,24520098,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['dabrafenib', 'mek inhibitor', 'vemurafenib']"
1,24569374,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24577748,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24582505,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['Vemurafenib']
1,24586605,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24589925,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24614711,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24616537,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24625306,Not PM,,,,,,,,,[]
1,24670642,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['drugs']
1,24679337,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24684646,Not PM,,,,,,,,,[]
1,24697775,Not PM,,,,,,,,,[]
1,24704793,Not PM,,,,,,,,,[]
1,24709886,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['canertinib', 'kinase inhibitor', 'vemurafenib']"
1,24712861,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['vemurafenib']
1,24714776,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['Carboplatin', 'Paclitaxel', 'carboplatin', 'sorafenib']"
1,24721322,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24732172,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24733413,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24735930,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['dabrafenib', 'mapk inhibitors', 'trametinib']"
1,24769640,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24784417,Not PM,,,,,,,,,[]
1,24841458,Not PM,,,,,,,,,[]
1,24857134,Not PM,,,,,,,,,[]
1,24865425,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24880943,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24882974,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24885890,Not PM,,,,,,,,,[]
1,24893747,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24917033,Not PM,,,,,,,,,[]
1,24918823,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24926260,Human PM,Exact,Exact,BRAF (E586K),,,,,Excludes,[]
1,24926836,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24933606,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24958825,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24959217,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24967732,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24971404,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,24980819,Human PM,Exact,Exact,BRAF (E586K),,,,,Not Discussed,[]
1,25018652,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['dabrafenib', 'trametinib']"
1,25026375,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25037139,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,"['cobimetinib', 'vemurafenib']"
1,25037456,Not PM,,,,,,,,,[]
1,25043693,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25046227,Not PM,,,,,,,,,[]
1,25048604,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25051202,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25079100,Not PM,,,,,,,,,[]
1,25081383,Not PM,,,,,,,,,[]
1,25130395,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25145427,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['trametinib']
1,25145428,Not PM,,,,,,,,,[]
1,25165098,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25180764,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25185693,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches,[]
1,25200806,Not PM,,,,,,,,,[]
1,25257766,Not PM,,,,,,,,,[]
1,25262755,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25265494,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,"['Vemurafenib', 'cobimetinib']"
1,25285888,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25287827,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,"['Dabrafenib', 'Trametinib']"
1,25329694,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25339196,Not PM,,,,,,,,,[]
1,25343173,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25344914,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25376477,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25382067,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Excludes,[]
1,25385327,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25399552,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['Nivolumab']
1,25407517,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25422890,Human PM,More General,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25437182,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25440439,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25442471,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25472943,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25500121,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25501056,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25515650,Not PM,,,,,,,,,[]
1,25526431,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25538140,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25557167,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25607474,Not PM,,,,,,,,,[]
1,25622086,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25623140,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25624498,Animal PM,Exact,Different Variant,BRAF (E586K),,,,,Excludes,[]
1,25627962,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25643238,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches,[]
1,25648338,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25653539,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25667500,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25738144,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25746036,Not PM,,,,,,,,,[]
1,25752325,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25762352,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25767048,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25787767,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25795410,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25797743,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25806238,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25806780,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25819940,Not PM,,,,,,,,,[]
1,25836739,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25841454,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25841462,Not PM,,,,,,,,,[]
1,25865802,Not PM,,,,,,,,,[]
1,25888143,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25912549,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,25942671,Not PM,,,,,,,,,[]
1,25944484,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,"['braf inhibitor', 'mek inhibitor']"
1,25951369,Not PM,,,,,,,,,[]
1,26001180,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,26020488,Not PM,,,,,,,,,[]
