trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc
1,NCT01519427,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01524978,Human PM,More General,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01543113,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01551693,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01562899,Human PM,More General,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01584648,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01586195,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01593579,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01596140,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01597908,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01603212,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01611675,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01619774,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01636622,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01656642,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01657591,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01667419,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01673854,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01682083,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01683188,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01689519,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01701037,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01704287,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01705392,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01709292,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01723202,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01726738,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01740297,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01744171,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01744652,Not PM,,,,,,,,
1,NCT01744860,Not PM,,,,,,,,
1,NCT01750918,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01754376,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01777776,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01781429,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01787500,Human PM,More General,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01804140,Not PM,,,,,,,,
1,NCT01807182,Not PM,,,,,,,,
1,NCT01811212,Not PM,,,,,,,,
1,NCT01820364,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01826448,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01827111,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT01840527,Not PM,,,,,,,,
1,NCT01841463,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01863108,Not PM,,,,,,,,
1,NCT01876212,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT01878396,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01884961,Not PM,,,,,,,,
1,NCT01897116,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01898039,Not PM,,,,,,,,
1,NCT01898585,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01904123,Not PM,,,,,,,,
1,NCT01909453,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01928940,Human PM,More General,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01933061,Not PM,,,,,,,,
1,NCT01941927,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01942993,Human PM,Exact,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT01959633,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01970358,Not PM,,,,,,,,
1,NCT01972347,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01973322,Not PM,,,,,,,,
1,NCT01974258,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01989585,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01990248,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02012231,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02036086,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02039947,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02050321,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02052193,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02068079,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02077114,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02082665,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02097225,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02120222,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02130466,Human PM,More General,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02143999,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02152995,Not PM,,,,,,,,
1,NCT02171286,Not PM,,,,,,,,
1,NCT02196181,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02202200,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02224781,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02231775,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02251314,Not PM,,,,,,,,
1,NCT02263898,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02279004,Not PM,,,,,,,,
1,NCT02296112,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02296996,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02300935,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02304458,Not PM,,,,,,,,
1,NCT02306512,Not PM,,,,,,,,
1,NCT02306850,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02308553,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02310451,Not PM,,,,,,,,
1,NCT02314143,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02314481,Not PM,,,,,,,,
1,NCT02335476,Not PM,,,,,,,,
1,NCT02352623,Not PM,,,,,,,,
1,NCT02354690,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02357732,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02360579,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02374242,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02385214,Not PM,,,,,,,,
1,NCT02385669,Human PM,Exact,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02399943,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02407509,Not PM,,,,,,,,
1,NCT02410863,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02414750,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02416232,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02425306,Not PM,,,,,,,,
1,NCT02427893,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02447939,Not PM,,,,,,,,
1,NCT02457065,Not PM,,,,,,,,
1,NCT02484404,Not PM,,,,,,,,
1,NCT02501551,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02575404,Not PM,,,,,,,,
1,NCT02581930,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02583516,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02587650,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02595866,Not PM,,,,,,,,
1,NCT02596113,Not PM,,,,,,,,
1,NCT02625337,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02626065,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02631447,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02645149,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02663232,Not PM,,,,,,,,
1,NCT02696356,Not PM,,,,,,,,
1,NCT02721459,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02733809,Not PM,,,,,,,,
1,NCT02751177,Not PM,,,,,,,,
1,NCT02768207,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02775851,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02828202,Not PM,,,,,,,,
1,NCT02836548,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02854124,Not PM,,,,,,,,
1,NCT02857270,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02858921,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02870244,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02872259,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02883933,Not PM,,,,,,,,
1,NCT02902029,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02906059,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02915666,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02941744,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT02967692,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02968303,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT02974725,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT02993315,Not PM,,,,,,,,
1,NCT03005639,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03013491,Not PM,,,,,,,,
1,NCT03018288,Not PM,,,,,,,,
1,NCT03021460,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT03026517,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03088176,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03101254,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03108209,Not PM,,,,,,,,
1,NCT03155217,Not PM,,,,,,,,
1,NCT03177941,Not PM,,,,,,,,
1,NCT03224208,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03235245,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03315468,Not PM,,,,,,,,
1,NCT03332589,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03379454,Not PM,,,,,,,,
1,NCT03415126,Not PM,,,,,,,,
1,NCT03416933,Not PM,,,,,,,,
1,NCT03430297,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT03455764,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03493230,Not PM,,,,,,,,
1,NCT03514901,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03538314,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT03543969,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03551626,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03553329,Not PM,,,,,,,,
1,NCT03554083,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT03580382,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT03634982,Not PM,,,,,,,,
1,NCT03637686,Not PM,,,,,,,,
1,NCT03641586,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT03655756,Not PM,,,,,,,,
1,NCT03663647,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03674502,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03683550,Not PM,,,,,,,,
1,NCT03696069,Not PM,,,,,,,,
1,NCT03724968,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT03754179,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03798977,Not PM,,,,,,,,
1,NCT03808441,Not PM,,,,,,,,
1,NCT03817125,Not PM,,,,,,,,
1,NCT03843775,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03864042,Not PM,,,,,,,,
1,NCT03865212,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT03878719,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Excludes
1,NCT03903458,Human PM,More Specific,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT03911869,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03914170,Human PM,Not Disease,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT03914300,Not PM,,,,,,,,
1,NCT03944356,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT03949153,Not PM,,,,,,,,
2,NCT00020774,Not PM,,,,,,,,
2,NCT00085410,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Not Discussed
2,NCT00096083,Not PM,,,,,,,,
2,NCT00134069,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00253617,Not PM,,,,,,,,
2,NCT00262769,Not PM,,,,,,,,
2,NCT00301379,Not PM,,,,,,,,
2,NCT00405587,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT00410956,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT00422448,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00423514,Not PM,,,,,,,,
2,NCT00471887,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT00513539,Not PM,,,,,,,,
2,NCT00553332,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00575042,Not PM,,,,,,,,
2,NCT00587067,Not PM,,,,,,,,
2,NCT00604266,Not PM,,,,,,,,
2,NCT00770263,Not PM,,,,,,,,
2,NCT00779454,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT00804310,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT00853931,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00858429,Not PM,,,,,,,,
2,NCT00869635,Not PM,,,,,,,,
2,NCT00888134,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT00907413,Not PM,,,,,,,,
2,NCT00936221,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00949702,Not PM,,,,,,,,
2,NCT00970359,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT00983541,Not PM,,,,,,,,
2,NCT01037127,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01043172,Not PM,,,,,,,,
2,NCT01066468,Not PM,,,,,,,,
2,NCT01107418,Not PM,,,,,,,,
2,NCT01136967,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01138085,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01143753,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01149434,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01153763,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01155453,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01164891,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01166126,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01200238,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01225536,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01227889,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01229150,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01231568,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01231594,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01240590,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01243372,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01245062,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01248936,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01262963,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01266967,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01276379,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01298570,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01303159,Not PM,,,,,,,,
2,NCT01308840,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed
2,NCT01316692,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01320254,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01336634,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01340846,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01351103,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01352273,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01362296,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01363232,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01377025,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01385722,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01389414,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01390818,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01400451,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01407380,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01417442,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01436656,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01437007,Not PM,,,,,,,,
2,NCT01437618,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01502410,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01506115,Not PM,,,,,,,,
2,NCT01524146,Not PM,,,,,,,,
2,NCT01524978,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01525719,Not PM,,,,,,,,
2,NCT01531361,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01534897,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01534910,Not PM,,,,,,,,
2,NCT01543113,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01543698,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01573494,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01582997,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01584648,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01585415,Not PM,,,,,,,,
2,NCT01586195,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01586403,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01588860,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01596140,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01597908,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01605162,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01644591,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01652547,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01656642,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01673802,Not PM,,,,,,,,
2,NCT01682083,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01683188,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01700699,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01701674,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01704287,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01708954,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01711632,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01713972,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01718327,Not PM,,,,,,,,
2,NCT01739764,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01744860,Human PM,More General,Exact,BRAF (V600E),,,,,Excludes
2,NCT01750918,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed
2,NCT01754376,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01755013,Not PM,,,,,,,,
2,NCT01765543,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01766219,Not PM,,,,,,,,
2,NCT01774526,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01787500,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01791309,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01804140,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01811212,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01828034,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01835184,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01840527,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01841463,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01844245,Not PM,,,,,,,,
2,NCT01855477,Not PM,,,,,,,,
2,NCT01859182,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01862276,Not PM,,,,,,,,
2,NCT01876212,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches
2,NCT01878396,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches
2,NCT01897116,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
2,NCT01902173,Human PM,More General,Exact,BRAF (V600E),,,,,Matches
