trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,NCT01138085,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01153763,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01164891,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01166126,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01167998,Not PM,,,,,,,,,
1,NCT01243372,Not PM,,,,,,,,,
1,NCT01245062,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01264380,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01281722,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01324609,Not PM,,,,,,,,,
1,NCT01336270,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01351103,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01377025,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01390818,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01400451,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01417442,Not PM,,,,,,,,,
1,NCT01417520,Not PM,,,,,,,,,
1,NCT01436656,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01437618,Not PM,,,,,,,,,
1,NCT01460134,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01474551,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01495988,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01519427,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01534897,Not PM,,,,,,,,,
1,NCT01543113,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01584648,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01585415,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01586195,Human PM,More Specific,Different Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01586403,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01588860,Not PM,,,,,,,,,
1,NCT01596140,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01597908,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01605162,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01611675,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01614301,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01616199,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01656642,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01659151,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01680562,Not PM,,,,,,,,,
1,NCT01682083,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01689519,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01720407,Not PM,,,,,,,,,
1,NCT01721603,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01726738,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01740648,Not PM,,,,,,,,,
1,NCT01744860,Not PM,,,,,,,,,
1,NCT01748149,Not PM,,,,,,,,,
1,NCT01754376,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01765543,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01767454,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01773655,Not PM,,,,,,,,,
1,NCT01777776,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01781026,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01791309,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01804140,Not PM,,,,,,,,,
1,NCT01813214,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01835184,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01840527,Not PM,,,,,,,,,
1,NCT01841463,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01877811,Not PM,,,,,,,,,
1,NCT01894672,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01897116,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01898039,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01898403,Not PM,,,,,,,,,
1,NCT01902173,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01904123,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01909453,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01910181,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01928940,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01942993,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01947023,Not PM,,,,,,,,,
1,NCT01954043,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01972347,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01978236,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01989585,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01989598,Not PM,,,,,,,,,
1,NCT01993654,Not PM,,,,,,,,,
1,NCT02012231,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02014909,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02023710,Not PM,,,,,,,,,
1,NCT02027961,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02034110,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02036086,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02039947,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02052193,Not PM,,,,,,,,,
1,NCT02070549,Not PM,,,,,,,,,
1,NCT02106598,Not PM,,,,,,,,,
1,NCT02109653,Not PM,,,,,,,,,
1,NCT02120222,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02130466,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02133222,Not PM,,,,,,,,,
1,NCT02138292,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02142803,Not PM,,,,,,,,,
1,NCT02143050,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02143999,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02145910,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02152995,Not PM,,,,,,,,,
1,NCT02159066,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02162641,Not PM,,,,,,,,,
1,NCT02164916,Not PM,,,,,,,,,
1,NCT02178722,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02196181,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02202200,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02224781,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02230306,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02251314,Not PM,,,,,,,,,
1,NCT02257424,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02263898,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02281760,Not PM,,,,,,,,,
1,NCT02296112,Human PM,Exact,Different Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02296996,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02300935,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02304809,Not PM,,,,,,,,,
1,NCT02314143,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02327078,Not PM,,,,,,,,,
1,NCT02346955,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02354690,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02357732,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02367859,Not PM,,,,,,,,,
1,NCT02374242,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02385214,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02392871,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02408887,Not PM,,,,,,,,,
1,NCT02410863,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02413853,Not PM,,,,,,,,,
1,NCT02414750,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02416232,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02425306,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02427893,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02428712,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02452294,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02452424,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02460068,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02470273,Not PM,,,,,,,,,
1,NCT02501551,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02537600,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02561533,Not PM,,,,,,,,,
1,NCT02583516,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02595866,Not PM,,,,,,,,,
1,NCT02608034,Not PM,,,,,,,,,
1,NCT02645149,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02663232,Not PM,,,,,,,,,
1,NCT02672358,Not PM,,,,,,,,,
1,NCT02700763,Not PM,,,,,,,,,
1,NCT02721459,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02768207,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02784639,Not PM,,,,,,,,,
1,NCT02788669,Not PM,,,,,,,,,
1,NCT02836548,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02854124,Not PM,,,,,,,,,
1,NCT02857270,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02858869,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02858921,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02870244,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02902029,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02902042,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02907606,Not PM,,,,,,,,,
1,NCT02907827,Not PM,,,,,,,,,
1,NCT02910700,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02944877,Not PM,,,,,,,,,
1,NCT02961283,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02968303,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02974803,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT02986113,Not PM,,,,,,,,,
1,NCT03025256,Not PM,,,,,,,,,
1,NCT03026517,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT03033576,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT03034395,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT03065387,Not PM,,,,,,,,,
1,NCT03088176,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT03101254,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
2,NCT00001452,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00004406,Not PM,,,,,,,,,
2,NCT00016263,Not PM,,,,,,,,,
2,NCT00044356,Not PM,,,,,,,,,
2,NCT00116597,Human PM,Exact,Missing Gene,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00173849,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00204581,Not PM,,,,,,,,,
2,NCT00260390,Not PM,,,,,,,,,
2,NCT00264056,Not PM,,,,,,,,,
2,NCT00288938,Not PM,,,,,,,,,
2,NCT00302588,Not PM,,,,,,,,,
2,NCT00304525,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00324272,Not PM,,,,,,,,,
2,NCT00339222,Human PM,Exact,Missing Gene,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00356460,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00400543,Not PM,,,,,,,,,
2,NCT00405587,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00422448,Human PM,Not Disease,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00434057,Not PM,,,,,,,,,
2,NCT00463892,Not PM,,,,,,,,,
2,NCT00526149,Not PM,,,,,,,,,
2,NCT00536029,Human PM,Exact,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00553332,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00633516,Not PM,,,,,,,,,
2,NCT00671918,Not PM,,,,,,,,,
2,NCT00683670,Not PM,,,,,,,,,
2,NCT00776945,Not PM,,,,,,,,,
2,NCT00794781,Not PM,,,,,,,,,
2,NCT00847522,Not PM,,,,,,,,,
2,NCT00849407,Human PM,Exact,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00866177,Human PM,Exact,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT00897481,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT00963664,Not PM,,,,,,,,,
2,NCT00991991,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01037127,Human PM,More General,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01037790,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01053819,Not PM,,,,,,,,,
2,NCT01077050,Not PM,,,,,,,,,
2,NCT01106040,Not PM,,,,,,,,,
2,NCT01136967,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01153763,Human PM,Exact,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01164891,Not PM,,,,,,,,,
2,NCT01167998,Not PM,,,,,,,,,
2,NCT01245062,Human PM,Exact,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01256359,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01264731,Not PM,,,,,,,,,
2,NCT01266967,Human PM,More Specific,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01281722,Animal PM,Exact,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01307397,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01324609,Not PM,,,,,,,,,
2,NCT01351103,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01400451,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01436656,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01460134,Not PM,,,,,,,,,
2,NCT01495988,Human PM,More Specific,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01519427,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01522820,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01524978,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01543113,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01543698,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01551693,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01584648,Human PM,Exact,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01588860,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01596140,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01597908,Human PM,More Specific,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01611675,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01616199,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01636622,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01656642,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01667419,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01673737,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01673854,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01689519,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01701037,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01720407,Not PM,,,,,,,,,
2,NCT01721603,Human PM,More Specific,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01726738,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01740648,Not PM,,,,,,,,,
2,NCT01744860,Human PM,Exact,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01754376,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01767454,Human PM,More Specific,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01777776,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01781026,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01783938,Not PM,,,,,,,,,
2,NCT01804140,Human PM,More General,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01807182,Not PM,,,,,,,,,
2,NCT01820364,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01840527,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01841463,Human PM,Exact,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01844674,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01851824,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01859845,Not PM,,,,,,,,,
2,NCT01878396,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01897116,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01902173,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01909453,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01928940,Human PM,More General,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01940809,Not PM,,,,,,,,,
2,NCT01942993,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01943422,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01947023,Human PM,More General,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01959633,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01961115,Not PM,,,,,,,,,
2,NCT01972347,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01973322,Not PM,,,,,,,,,
2,NCT01978236,Human PM,More Specific,Exact,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT01989585,Human PM,Exact,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01989598,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01990248,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT01993654,Not PM,,,,,,,,,
2,NCT02012231,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02027961,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02034110,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02039947,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02070549,Not PM,,,,,,,,,
2,NCT02078986,Not PM,,,,,,,,,
2,NCT02082665,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02094872,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02097225,Human PM,More General,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02120222,Human PM,Exact,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02130466,Human PM,More Specific,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02138292,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02143050,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02143999,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02159066,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02162641,Not PM,,,,,,,,,
2,NCT02164916,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT02171286,Human PM,More General,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02178722,Human PM,More General,Missing Gene,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02196181,Human PM,More Specific,Exact,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02224781,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02230306,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Matches,Not Discussed
2,NCT02251314,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02257424,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02263508,Human PM,More Specific,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
2,NCT02263898,Human PM,Exact,Missing Variant,BRAF (V600K),,,,,Not Discussed,Not Discussed
