trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,15917418,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15948115,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15971007,Not PM,,,,,,,,,
1,16086994,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Excludes,Not Discussed
1,16098043,Not PM,,,,,,,,,
1,16410717,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,16540682,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,16548152,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,16809487,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,16964379,Not PM,,,,,,,,,
1,17016922,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,17159915,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,17346341,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Excludes,Not Discussed
1,17409425,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,17575149,Not PM,,,,,,,,,
1,1762359,Not PM,,,,,,,,,
1,17976211,Not PM,,,,,,,,,
1,18056475,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18116770,Not PM,,,,,,,,,
1,18245924,Not PM,,,,,,,,,
1,18279546,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18281615,Not PM,,,,,,,,,
1,18374154,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18473997,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18644254,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18715233,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,1872932,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18790768,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18794803,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18840924,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,18900223,Not PM,,,,,,,,,
1,1915949,Not PM,,,,,,,,,
1,19282848,Animal PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,19398955,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,19473026,Not PM,,,,,,,,,
1,19659611,Not PM,,,,,,,,,
1,19682280,Not PM,,,,,,,,,
1,2011656,Not PM,,,,,,,,,
1,20149136,Not PM,,,,,,,,,
1,20233623,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,20269662,Not PM,,,,,,,,,
1,2033158,Not PM,,,,,,,,,
1,20576522,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,20605766,Not PM,,,,,,,,,
1,20679909,Not PM,,,,,,,,,
1,20786851,Not PM,,,,,,,,,
1,20818844,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,20942773,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,20944096,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,20982115,Not PM,,,,,,,,,
1,20986980,Not PM,,,,,,,,,
1,20991150,Not PM,,,,,,,,,
1,21098728,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21131919,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21139585,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21174863,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21343559,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21352266,Human PM,More General,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,21482206,Not PM,,,,,,,,,
1,21615881,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21635872,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21639808,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21693616,Not PM,,,,,,,,,
1,21694724,Not PM,,,,,,,,,
1,21725359,Not PM,,,,,,,,,
1,21738740,Not PM,,,,,,,,,
1,21788131,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21905615,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21995398,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21995399,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,21995400,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22012135,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22022384,Not PM,,,,,,,,,
1,22156613,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22157295,Not PM,,,,,,,,,
1,22189819,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22205714,Not PM,,,,,,,,,
1,22235286,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22241959,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22261672,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22262188,Not PM,,,,,,,,,
1,22281684,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22332713,Not PM,,,,,,,,,
1,22356324,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22382362,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22385786,Not PM,,,,,,,,,
1,22425959,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,2250181,Not PM,,,,,,,,,
1,22535154,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22537109,Not PM,,,,,,,,,
1,22554099,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22588166,Not PM,,,,,,,,,
1,22588873,Not PM,,,,,,,,,
1,22663011,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22735384,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22742884,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22744255,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22805292,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22820187,Not PM,,,,,,,,,
1,22850568,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,22895053,Not PM,,,,,,,,,
1,22900212,Not PM,,,,,,,,,
1,22934253,Animal PM,Exact,Exact,BRAF (V600E),,,,,Excludes,Not Discussed
1,22962325,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23025996,Not PM,,,,,,,,,
1,23026937,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23036672,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23051966,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23094782,Not PM,,,,,,,,,
1,23169438,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,23174497,Not PM,,,,,,,,,
1,23181437,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23211290,Not PM,,,,,,,,,
1,23235345,Not PM,,,,,,,,,
1,23237741,Human PM,Exact,Different Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23248257,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23249624,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23288408,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23290787,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23306863,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23323158,Not PM,,,,,,,,,
1,23344460,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23358426,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23403819,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23454771,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23526598,Not PM,,,,,,,,,
1,23579220,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23615632,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23621583,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23650282,Not PM,,,,,,,,,
1,23690527,Not PM,,,,,,,,,
1,23699661,Not PM,,,,,,,,,
1,23710269,Not PM,,,,,,,,,
1,23726842,Not PM,,,,,,,,,
1,23735514,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23792568,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23802768,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23807941,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23817129,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23852164,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23881668,Not PM,,,,,,,,,
1,23898270,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,23918947,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23924408,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,23927433,Not PM,,,,,,,,,
1,23938765,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24023633,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24114495,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24178368,Not PM,,,,,,,,,
1,24200969,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24201813,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24220097,Not PM,,,,,,,,,
1,24241686,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,24259661,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24265154,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24290760,Not PM,,,,,,,,,
1,24301760,Not PM,,,,,,,,,
1,24333389,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24335665,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24398428,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24403169,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24422853,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24460976,Not PM,,,,,,,,,
1,24471189,Human PM,More Specific,Exact,BRAF (V600E),,,,,Excludes,Not Discussed
1,24508103,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24516336,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24535907,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24567366,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24569370,Not PM,,,,,,,,,
1,24572903,Not PM,,,,,,,,,
1,24588073,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24612623,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24614711,Not PM,,,,,,,,,
1,24617955,Not PM,,,,,,,,,
1,24625733,Not PM,,,,,,,,,
1,24670642,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24684646,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24713734,Not PM,,,,,,,,,
1,24725538,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Excludes,Not Discussed
1,24798160,Not PM,,,,,,,,,
1,24815010,Not PM,,,,,,,,,
1,24879511,Not PM,,,,,,,,,
1,24893747,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24917033,Not PM,,,,,,,,,
1,24926260,Not PM,,,,,,,,,
1,24958825,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,24971404,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25036880,Not PM,,,,,,,,,
1,25037139,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25046227,Not PM,,,,,,,,,
1,25051202,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25073704,Not PM,,,,,,,,,
1,25096067,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25117819,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25159853,Human PM,More Specific,Exact,BRAF (V600E),,,,,Excludes,Not Discussed
1,25257244,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,25265492,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25265494,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25268196,Not PM,,,,,,,,,
1,25351955,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25359093,Not PM,,,,,,,,,
1,25361077,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25363723,Not PM,,,,,,,,,
1,25364391,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25376477,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25380183,Not PM,,,,,,,,,
1,25385327,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25399551,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25411185,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25422482,Not PM,,,,,,,,,
1,25442222,Not PM,,,,,,,,,
1,25468810,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25472806,Not PM,,,,,,,,,
1,25472943,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25562798,Human PM,More General,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25583765,Not PM,,,,,,,,,
1,25584893,Not PM,,,,,,,,,
1,25600339,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25607474,Not PM,,,,,,,,,
1,25623974,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25643238,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25686114,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25744437,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25752325,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25767048,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25787767,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25848750,Not PM,,,,,,,,,
1,25888143,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25890285,Not PM,,,,,,,,,
1,25948295,Not PM,,,,,,,,,
1,25960652,Not PM,,,,,,,,,
1,25965364,Not PM,,,,,,,,,
1,25965804,Not PM,,,,,,,,,
1,25980594,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,25989506,Not PM,,,,,,,,,
1,25993155,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26020488,Not PM,,,,,,,,,
1,26037941,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26058727,Not PM,,,,,,,,,
1,26125673,Not PM,,,,,,,,,
1,26138035,Not PM,,,,,,,,,
1,26139106,Not PM,,,,,,,,,
1,26141621,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26141748,Not PM,,,,,,,,,
1,26145173,Not PM,,,,,,,,,
1,26171248,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26200454,Human PM,Not Disease,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26200476,Not PM,,,,,,,,,
1,26204954,Not PM,,,,,,,,,
1,26215382,Not PM,,,,,,,,,
1,26286452,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26314551,Not PM,,,,,,,,,
1,26339532,Not PM,,,,,,,,,
1,26347528,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26356671,Not PM,,,,,,,,,
1,26451873,Not PM,,,,,,,,,
1,26486743,Not PM,,,,,,,,,
1,26498143,Not PM,,,,,,,,,
1,26512791,Not PM,,,,,,,,,
1,26594172,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26597176,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26600396,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26678033,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26710785,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26731560,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26768652,Not PM,,,,,,,,,
1,26787892,Not PM,,,,,,,,,
1,26790143,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26828826,Not PM,,,,,,,,,
1,26851802,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26878440,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,26924424,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27009410,Not PM,,,,,,,,,
1,27028853,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27041702,Not PM,,,,,,,,,
1,27192168,Not PM,,,,,,,,,
1,27210749,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27219630,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27255157,Human PM,Exact,Different Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,27283860,Human PM,Not Disease,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27320919,Not PM,,,,,,,,,
1,27327499,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27336602,Not PM,,,,,,,,,
1,27350555,Not PM,,,,,,,,,
1,27403706,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27481005,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27490749,Not PM,,,,,,,,,
1,27497007,Not PM,,,,,,,,,
1,27510784,Not PM,,,,,,,,,
1,27624451,Not PM,,,,,,,,,
1,27679543,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,27766572,Not PM,,,,,,,,,
1,27783987,Not PM,,,,,,,,,
1,27793752,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,2915498,Not PM,,,,,,,,,
1,3546421,Not PM,,,,,,,,,
1,3781380,Not PM,,,,,,,,,
1,4040851,Not PM,,,,,,,,,
1,4060305,Not PM,,,,,,,,,
1,4160968,Not PM,,,,,,,,,
1,4699540,Not PM,,,,,,,,,
1,478071,Not PM,,,,,,,,,
1,5057857,Not PM,,,,,,,,,
1,5151456,Not PM,,,,,,,,,
1,5362451,Not PM,,,,,,,,,
1,5386892,Not PM,,,,,,,,,
1,5568491,Not PM,,,,,,,,,
1,5568633,Not PM,,,,,,,,,
1,5663005,Not PM,,,,,,,,,
1,5844157,Not PM,,,,,,,,,
1,6479972,Not PM,,,,,,,,,
1,650848,Not PM,,,,,,,,,
1,6529147,Not PM,,,,,,,,,
1,6815646,Not PM,,,,,,,,,
1,687305,Not PM,,,,,,,,,
1,6921481,Not PM,,,,,,,,,
1,7229180,Not PM,,,,,,,,,
1,7377794,Not PM,,,,,,,,,
1,7402272,Not PM,,,,,,,,,
1,7722014,Not PM,,,,,,,,,
1,7760905,Not PM,,,,,,,,,
1,8172798,Not PM,,,,,,,,,
1,8252770,Not PM,,,,,,,,,
1,853903,Not PM,,,,,,,,,
1,8609858,Not PM,,,,,,,,,
1,8767332,Not PM,,,,,,,,,
1,8912841,Not PM,,,,,,,,,
1,907505,Not PM,,,,,,,,,
1,9653249,Not PM,,,,,,,,,
1,9661465,Not PM,,,,,,,,,
1,AACR_2012-1223,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2012-1803,Not PM,,,,,,,,,
1,AACR_2012-249,Not PM,,,,,,,,,
1,AACR_2012-3677,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2012-3754,Not PM,,,,,,,,,
1,AACR_2012-3985,Not PM,,,,,,,,,
1,AACR_2012-4170,Not PM,,,,,,,,,
1,AACR_2012-5598,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2012-5601,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2013-1116,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2013-1977,Not PM,,,,,,,,,
1,AACR_2013-2078,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2013-2806,Not PM,,,,,,,,,
1,AACR_2013-3381,Not PM,,,,,,,,,
1,AACR_2013-3404,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2013-4058,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2013-42,Not PM,,,,,,,,,
1,AACR_2013-4213,Not PM,,,,,,,,,
1,AACR_2013-4220,Not PM,,,,,,,,,
1,AACR_2013-5213,Not PM,,,,,,,,,
1,AACR_2013-5245,Not PM,,,,,,,,,
1,AACR_2014-1878,Not PM,,,,,,,,,
1,AACR_2014-2611,Not PM,,,,,,,,,
1,AACR_2014-3522,Not PM,,,,,,,,,
1,AACR_2014-3698,Human PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2014-4331,Not PM,,,,,,,,,
1,AACR_2014-4832,Not PM,,,,,,,,,
1,AACR_2014-4969,Not PM,,,,,,,,,
1,AACR_2014-5282,Not PM,,,,,,,,,
1,AACR_2014-5602,Not PM,,,,,,,,,
1,AACR_2015-2006,Not PM,,,,,,,,,
1,AACR_2015-2142,Not PM,,,,,,,,,
1,AACR_2015-2432,Not PM,,,,,,,,,
1,AACR_2015-2518,Not PM,,,,,,,,,
1,AACR_2015-2907,Not PM,,,,,,,,,
1,AACR_2015-2968,Not PM,,,,,,,,,
1,AACR_2015-2972,Not PM,,,,,,,,,
1,AACR_2015-3394,Not PM,,,,,,,,,
1,AACR_2015-4046,Not PM,,,,,,,,,
1,AACR_2016-1138,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2016-2546,Not PM,,,,,,,,,
1,AACR_2016-2992,Not PM,,,,,,,,,
1,AACR_2016-308,Not PM,,,,,,,,,
1,AACR_2016-3782,Not PM,,,,,,,,,
1,AACR_2016-4017,Human PM,More General,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,AACR_2016-411,Not PM,,,,,,,,,
1,AACR_2016-4167,Not PM,,,,,,,,,
1,AACR_2016-642,Not PM,,,,,,,,,
1,AACR_2017-158,Not PM,,,,,,,,,
1,AACR_2017-4129,Not PM,,,,,,,,,
